rank,country,crimeIndex
1,Venezuela,83.76
2,Papua New Guinea,80.79
3,South Africa,76.86
4,Afghanistan,76.31
5,Honduras,74.54
6,Trinidad And Tobago,71.63
7,Guyana,68.74
8,El Salvador,67.79
9,Brazil,67.49
10,Jamaica,67.42
11,Syria,67.18
12,Peru,66.72
13,Angola,66.48
14,Cameroon,65.24
15,Namibia,65.21
16,Nigeria,64.06
17,Bangladesh,63.9
18,Argentina,63.82
19,Puerto Rico,62.84
20,Bahamas,62.06
21,Libya,61.78
22,Dominican Republic,61.02
23,Kenya,60.14
24,Belarus,59.58
25,Zimbabwe,59.3
26,Guatemala,58.67
27,Bolivia,57.77
28,Fiji,57.62
29,Malaysia,57.29
30,Colombia,56.87
31,Kyrgyzstan,56.87
32,Uganda,56.12
33,Somalia,56.04
34,Mongolia,56.01
35,Tanzania,56
36,Maldives,55.34
37,Ecuador,55.23
38,Costa Rica,54.22
39,Mexico,54.19
40,Kazakhstan,53.77
41,Chile,53.42
42,Botswana,52.98
43,Algeria,52.03
44,France,51.99
45,Uruguay,51.73
46,Cambodia,51.13
47,Belize,50.39
48,Iran,49.38
49,Paraguay,49.37
50,Ethiopia,49.3
51,Mauritius,48.88
52,Morocco,48.66
53,Iraq,48.42
54,Sweden,48
55,Nicaragua,47.89
56,United States,47.81
57,Ukraine,47.42
58,Ghana,46.98
59,Egypt,46.83
60,Lebanon,46.77
61,Myanmar,46.51
62,Moldova,46.35
63,Vietnam,46.19
64,United Kingdom,46.07
65,Indonesia,45.93
66,Greece,45.85
67,Ireland,45.51
68,Panama,45.15
69,Italy,44.85
70,Belgium,44.58
71,India,44.43
72,Palestine,43.74
73,Tunisia,43.69
74,Zambia,43.62
75,Australia,43.03
76,Bosnia And Herzegovina,42.99
77,New Zealand,42.88
78,Albania,42.53
79,Pakistan,42.51
80,Philippines,42.46
81,Sudan,42.34
82,Canada,41.89
83,Sri Lanka,41.39
84,Montenegro,41.18
85,Malta,40.39
86,Russia,39.99
87,Jordan,39.96
88,Turkey,39.62
89,Thailand,39.35
90,North Macedonia,39.12
91,Latvia,38.77
92,Bulgaria,38.21
93,Serbia,38.1
94,Nepal,36.01
95,Germany,35.79
96,Hungary,34.36
97,Luxembourg,34.13
98,Norway,33.72
99,Uzbekistan,33.42
100,Kuwait,33.42
101,Lithuania,33.42
102,Spain,33.32
103,Azerbaijan,32.02
104,Israel,31.47
105,Cyprus,31.28
106,Poland,30.5
107,Slovakia,30.37
108,China,30.14
109,Portugal,29.91
110,Brunei,29
111,Cuba,28.33
112,Romania,28.3
113,Singapore,27.96
114,Finland,27.59
115,Netherlands,27.16
116,South Korea,26.68
117,Denmark,26.22
118,Bahrain,25.64
119,Austria,25.54
120,Czech Republic,25.52
121,Saudi Arabia,25.23
122,Rwanda,24.89
123,Croatia,24.59
124,Iceland,23.75
125,Estonia,23.71
126,Georgia,23.38
127,Armenia,22.79
128,Slovenia,22.28
129,Japan,22.19
130,Hong Kong,22
131,Switzerland,21.62
132,Oman,20.34
133,Isle Of Man,19.25
134,Taiwan,15.46
135,United Arab Emirates,15.23
136,Qatar,12.13
